中文译名,日文原名,,出道年份,备注
青山雪菜,青山雪菜（あおやま ゆきな）,,2006年,
青山菜菜,青山 菜々（あおやま なな）,,2006年,（引退）
横山美玲,横山みれい(よこやまみれい),,2006年,
新村爱,新村愛（にいむら あい）,,2006年,
早乙女优,早乙女優（さおとめ ゆう）,,2006年,（引退）
春咲和津实,春咲あずみ（はるさき あずみ）,,2006年,
高树圣良,高樹聖良（たかぎせいら）,,2006年,
恋小夜,恋小夜（こいさや）,,2006年,（引退）
若菜光,若菜ひかる（わかな ひかる）,,2006年,（引退）
小林爱弓,小林愛弓（こばやし あゆみ）,,2006年,（引退）同纰咲爱弓
滨崎里绪,浜崎りお（はまさき りお）,,2006年,同篠原絵里香
乙音奈奈,乙音奈々（おとね なな）,,2006年,
花宫亚美,花宮あみ（はなみや あみ）,,2006年,（引退）
遥惠美,遥めぐみ（はるか めぐみ）,,2006年,（引退）
三浦亚沙妃,三浦亜沙妃（みうら あさひ）,,2006年,
爱川美里菜,遥めい（はるか めい）,,2006年,同千田理子
真田春香,真田春香（さなだ はるか）,,2006年,
相崎琴音,相崎琴音（あいさき ことね）,,2006年,（引退）
宫泽惠,宮澤ケイト（みやざわ けいと）ト,,2006年,
相户爱,相戸愛（あいと あい）,,2006年,
香坂百合,香坂百合（こうさか ゆり）,,2006年,
MO☆MO,MO☆MO（もも）,,2006年,
前嶋美步,前嶋美歩（まえしま みほ）,,2006年,
姬咲莉莉亚,姫咲りりあ（ひめさき りりあ）,,2006年,
ICHIKA,ICHIKA（いちか）,,2006年,
高原智美,高原智美（たかはら ともみ）,,2006年,
加护范子,加護範子（かご のりこ）,,2006年,同小野濑香恋
小日向优,小日向優（こひなた ゆう）,,2006年,
北岛玲,北島玲（きたじま れい）,,2006年,
川嶋夏树,川嶋夏樹（かわしま なつき）,,2006年,
青木琳,青木りん（あおき りん）,,2006年,
榊里绪,榊里緒（さかき りお）,,2006年,
广田樱,広田さくら（ひろた さくら）,,2006年,
范田纱纱,範田紗々（はんだ ささ）,,2006年,（引退）
星野美优,ほしの みゆ,,2006年,（引退）
一之濑亚美莉,一ノ瀬 アメリ（いちのせ あめり）,,2006年,同美空あやか、栗栖エリカ
美上千里,美上 セリ（みかみ せり）,,2006年,（引退）
蕾,つぼみ,,2006年,
爱川纱季,愛川 紗季（あいかわ さき）,,2006年,
永濑亚纪,永瀬 あき（ながせ あき）,,2006年,
成岛龙,成島りゅう(なるしま りゅう),,2007年,
启子,けいこ,,2007年,
芹泽恋,芹沢 恋（せりざわ れん）,,2007年,
桃咲真奈美,桃咲まなみ(ももさきまなみ),,2007年,
艳堂志穗,艶堂 しほり（えんどう しほり）,,2007年,宴堂 さなえ-远藤 しおり-远藤 香织-远藤 小百合-刊-ともよ
立花美凉,たちばな みすず,,2007年,〔雪乃ほたる（萤）、日语：ゆきの ほたる、英语：Yukino Hotaru〕
堀口奈津美,堀口奈津美（ほりぐち なつみ）,,2007年,同 恩田ほのか、広瀬奈々美
村上里沙,村上里沙（むらかみ りさ）,,2007年,同真宫梨沙子、竹内纱里奈
横山美玲,横山みれい（よこやま みれい）,,2007年,藤池 れみ(ふじいけれみ)
月野姬,月野姫（つきの ひめ）,,2007年,
绫波优,綾波優（あやなみ ゆう）,,2007年,（引退）
圣,聖（せい）,,2007年,
岬里沙,岬リサ（みさき りさ）,,2007年,同熊田夏树
伊藤青叶,伊藤青葉（いとう あおば）,,2007年,
原更纱,原更紗（はら さらさ）,,2007年,同夏目彩春
高濑七海,高瀬七海（たかせ ななみ）,,2007年,（引退）
南沙也香,南沙也香（みなみ さやか）,,2007年,同花川ひらり
早乙女露依,早乙女ルイ（さおとめ るい）,,2007年,
相田纱耶香,相田紗耶香（あいだ さやか）,,2007年,
翼裕香,翼裕香（つばさ ゆうか）,,2007年,
田中亚弥,田中亜弥（たなか あや）,,2007年,
羽田未来,羽田未来（はねだ みらい）,,2007年,
赤西凉,赤西涼（あかにし りょう）,,2007年,（引退）
仁科沙也加,仁科さやか（にしな さやか）,,2007年,（引退）
北原夏美,北原夏美（きたはら なつみ）,,2007年,
鲇川奈绪,鮎川なお（あゆかわ なお）,,2007年,（引退）
稻川夏目,稲川なつめ（いながわ なつめ）,,2007年,片瀬真由-上村ちひろ
白鸟凉子,白鳥涼子（しらとり りょうこ）,,2007年,
若宫莉那,若宮莉那（わかみや りな）,,2007年,
飞鸟伊央,あすか伊央（あすか いお）,,2007年,
绫濑美音,綾瀬美音（あやせ みおん）,,2007年,同神谷梨梨
明日花绮罗,明日花キララ（あすか きらら）,,2007年,
花井美沙,花井メイサ（はない めいさ）,,2007年,
青山由衣,青山ゆい（あおやま ゆい）,,2007年,
心有花,心有花（こころ ゆうか）,,2007年,
冬月枫,冬月かえで（ふゆつきかえで）,,2007年,84 -58 - 84(C Cup)
樱木凛,桜木凜（さくらぎ りん）,,2007年,
祐花凛,祐花凛(ゆうかりん),,2007年,ランレイ （らんれい / ran rei）-园田ルル （そのだるる / SonodaRuru）-玉川ルル （たまがわるる / TamagawaRuru）
水城奈绪,水城奈緒（みずき なお）,,2007年,
大桥未久,大橋未久（おおはし みく）,,2007年,(引退)
石黑京香,石黒京香（いしぐろ きょうか）,,2007年,
石野容子,石野容子（いしの ようこ）,,2007年,いしの ようこ-白井 エリコ-2009拍摄时死亡
濑名步,瀬名あゆむ（せな あゆむ）,,2007年,同广濑蓝子
小泉梨菜,小泉梨菜（こいずみ りな）,,2007年,
小西 那奈,小西 那奈（こにし なな）,,2007年,（引退）
琴乃,琴乃（ことの）,,2007年,（引退）
美优千奈,美優千奈（みゆう ちな）,,2007年,
星乃星爱,星乃せあら（ほしの せあら）,,2007年,同南美海
爱原翼,愛原つばさ（あいはら つばさ）,,2007年,
铃木里美,鈴木さとみ（すずき さとみ）,,2007年,
七咲枫花,七咲楓花,,2007年,
七海奈奈,七海 なな（ななうみ なな）,,2007年,
初音实,初音 みのり（はつね みのり）,,2007年,
本多成实,本多成実,,2007年,同枫まお、时东あい
星优乃,星 優乃（ほし ゆうの）,,2007年,
饭岛玖罗,飯島 くらら（いいじま くらら）,,2007年,（引退）同仓林圣子
石仓咏美,石倉　えいみ（いしくら　えいみ）,,2007年,同神田美穂，2011年更名复出
佐伯奈奈,佐伯 奈々（さえき なな）,,2007年,（引退）
佐山爱,佐山 愛（さやま あい）,,2007年,
仙道春奈,仙道 春奈（せんどう はるな）,,2007年,
茉莉桃,茉莉 もも（まつり もも）,,2007年,同七草まつり、田中志乃
樱井优子,櫻井 ゆうこ（さくらい ゆうこ）,,2007年,
石川施恩惠,紺野 りさ子（こんの りさこ）,,2007年,同石川めぐみ
霞理沙,霞理沙（かすみりさ）,,2007年,2007年度新人王
本多成实,本多 成実,,2007年,时见 爱子，时东 あい(ときとうあい)，枫 まお（かえで まお），枫 真央
百合川沙罗,百合川さら（ゆりかわ さら）,,2007年,茅ヶ崎 ありす（亜理寿）ちがさき ありす，Chigasaki Arisu
持田亮子,もちだ りょうこ,,2008年（パコパコママ）,素人，48岁（1962年，昭和37年）
辰巳唯,辰巳 ゆい（たつみ ゆい）,,2008年,(引退)
高坂保奈美,高坂保奈美（たかさかほなみ）,,2008年,
鹰宫凉,鷹宮 りょう（たかみや りょう）,,2008年,
浅仓彩音,浅仓彩音,,2008年,
麻生 美由树,あそう みゆき,,2008年,自杀
波多野结衣,波多野結衣（はたの ゆい）,,2008年,はたちゃん-ゆいにゃん
泽木树里,沢木樹里（さわき じゅり）,,2008年,
茉莉花,茉莉花（まりか）,,2008年,
叶志穗,叶志穂（かのう しほ）,,2008年,
橘未稀,橘未稀（たちばな みき）,,2008年,同石川麻矢
爱泽莲,愛沢蓮（あいざわ れん）,,2008年,
明佐奈,明佐奈（あかり さな）,,2008年,同土屋加奈子、城崎麻理子
藤井雪莉,藤井シェリー（ふじい しぇりー）,,2008年,
小峰日向,小峰ひなた（こみね ひなた）,,2008年,
初美理音,初美りおん（はつみ りおん）,,2008年,（引退）
横山美雪,橫山美雪（よこやま みゆき）Yokoyama Miyuki,,2008年,
篠原凉,篠原リョウ（しのはら りょう）,,2008年,同三浦加奈、望月凉子
京子,KYOKO（きょうこ）,,2008年,（引退）
叶山润子,葉山潤子（はやま じゅんこ）,,2008年,
花鸟丽,花鳥レイ（はなとり れい）,,2008年,
羽田爱,羽田あい（はねだ あい）,,2008年,
大槻响,大槻ひびき（おおつき ひびき）,,2008年,
坂田美影,坂田美影（さかた みかげ）,,2008年,2014年死亡
长泽梓,長澤あずさ（ながさわ あずさ）,,2008年,
大泽佳那,大沢かな（おおさわ かな）,,2008年,
仁美,Hitomi（ひとみ）,,2008年,
伊东遥,伊東遥（いとう はるか）,,2008年,（引退）
樱井莉亚,桜井りあ（さくらい りあ）,,2008年,同爱咲MIU
雨宫琴音,雨宮琴音（あまみや ことね）,,2008年,
铃香音色,鈴香音色（すずか ねいろ）,,2008年,（引退）
羽月希,羽月希（はづき のぞみ）,,2008年,
莲井志帆,蓮井志帆（はすい しほ）,,2008年,
桃子,桃子（ももこ）,,2008年,
松下怜,松下怜（まつした れい）,,2008年,
成濑心美,成瀬心美（なるせ　ここみ）,,2008年,
希崎洁西嘉,希崎ジェシカ（きざき じぇしか）,,2008年,
水菜丽,みづなれい,,2008年,（引退）
日向真昼,日向まひる（ひなた まひる）,,2008年,同桃瀬ひかる、瀬田爱里、铃木かおり
黑木一香,黒木いちか（くろき いちか）,,2008年,
胡桃雏,くるみひな（くるみひな）,,2008年,本名:金井千春
爱叶渚,愛葉渚（あいば なぎさ）,,2008年,
石原莉奈,石原莉奈（いしはら りな）,,2008年,
黑川绮罗,黒川きらら（くろかわ きらら）,,2008年,
黑木亚理纱,黒木アリサ（くろき ありさ）,,2008年,96 - 58 - 85 G Cup
Fuwari,ふわり（ふわり）,,2008年,
原明奈,原明奈（はら あきな）,,2008年,
广濑由奈,広瀬ゆな（ひろせ ゆな）,,2008年,
小林初花,小林初花（こばやし はつか）,,2008年,
桐生樱,桐生さくら（きりゅう さくら）,,2008年,
松生彩,松生彩（まつき あや）,,2008年,
森美咲,森美咲（もり みさき）,,2008年,
并木优,並木優（なみき ゆう）,,2008年,（引退）
浅田琪琪,浅田ちち（あさだ ちち）,,2008年,（引退）
秋元美由,秋元美由（あきもと みゆ）,,2008年,
原小雪,原小雪（はら こゆき）,,2008年,
辻沙耶香,辻さやか（つじ さやか）,,2008年,同山咲リリィ
朝日奈明,朝日奈あかり（あさひな あかり）,,2008年,
秋川露依,秋川ルイ（あきかわ るい）,,2008年,
杏树纱奈,杏樹紗奈（あんじゅさな,,2008年,
栗林里莉,栗林里莉（くりばやし りり）,,2008年,
希志爱野,希志あいの（きし あいの）,,2008年,（引退）
石川铃华,石川鈴華（いしかわ すずか）,,2008年,同池内莉奈
石黒沙良,（いしぐろ さら）,,2008年,
平井绫,平井綾（ひらい あや）,,2008年,
佳山三花,佳山 三花（かやま みか）,,2008年,（引退）
慧,KEI（けい）,,2008年,
香坂美优,香坂 美優（こうさか みゆ）,,2008年,
里香,RICA（りか）,,2008年,
月野理纱,月野 りさ（つきの りさ）,,2008年,（引退）
上原卡艾拉,上原 カエラ（うえはら かえら）,,2008年,（引退）
爱海一夏,あいみ いちか,,2009年,
初芽 里奈,初芽 里奈（はつめ りな）,,2009年,初咲　里奈（うさき　りな）-桃井凛（ももい りん）
瑠奈,☆LUNA☆（ルナ；假名：るな）,,2009年,
青空小夏,青空小夏（あおぞら こなつ）,,2009年,
内藤 斐奈,（ないとう あやな）,,2009年,内藤日名子-二ノ宫优子-北原志帆
御剣メイ,（みつるぎ めい）,,2009年,
松すみれ,松すみれ(まつすみれ),,2009年,
真白希实,真白希実（ましろ のぞみ）,,2009年,
亚希菜,亜希菜（あきな）,,2009年,
甲斐美晴,甲斐 ミハル（かい みはる）,,2009年,别名:片冈美雪
泽村麻耶,沢村 麻耶（さわむら まや）,,2009年,
三笑恭子,三咲 恭子（みさき きょうこ）,,2009年,
管野静香,管野しずか（かんの しずか）,,2009年,冴木 真美子-加藤 百合奈-井上 真弓
伊东麻央,（いとうまお）,,2009年,藤谷ゆうき-スザンナ-伊东麻未
内藤斐奈,（ないとう あやな）,,2009年,内藤日名子-二ノ宫优子-北原志帆
直嶋爱,直嶋あい（なおしま あい）,,2009年,
音羽蕾恩,音羽 レオン（おとわ れおん）,,2009年,
木下柚花,木下柚花（きのした ゆずか）,,2009年,
希美真由,希美まゆ（のぞみ まゆ）,,2009年,
葵ちひろ,葵ちひろ（あおい ちひろ）,,2009年,
葵ぶるま,葵ぶるま（あおい ぶるま）,,2009年,
麻仓忧,麻倉憂（あさくら ゆう）,,2009年,（引退）(2013年复出)
原纱央莉,原紗央莉（はら さおり）,,2009年,（引退）
橘庆子,橘 慶子（たちばな けいこ）,,2009年,92 - 64 - 92 F Cup
留美佳,RUMIKA（ルミカ；假名：るみか）,,2009年,
天海翼,天海つばさ（あまみ つばさ）,,2009年,
橘日向,橘 ひなた（たちばな ひなた）,,2009年,
舞滨朱里,舞浜朱里（まいはま しゅり）,,2009年,
一条爱美,一条愛美（いちじょう あいみ）,,2009年,
妃悠爱,妃悠愛（きさき ゆあ）,,2009年,
小樱沙树,小桜沙樹（こざくら さき）,,2009年,同茅之崎里沙
种村美咲,種村美咲（たねざき みさき）,,2009年,
朝比奈瑠依,朝比奈るい（あさひな るい）,,2009年,
篠惠美,篠めぐみ（しの めぐみ）,,2009年,
藤本莉娜,藤本リーナ（ふじもと りーな）,,2009年,
藤崎里绪,藤崎りお（ふじさき りお）,,2009年,同水谷心音
爱川香织,愛川香織（あいかわ かおり）,,2009年,
樱心美,桜ここみ（さくら ここみ）,,2009年,
速水百花,速水百花（はやみ ももか）,,2009年,
明日香,ASUKA（あすか）,,2009年,
木内美保,木内美保（きうち みほ）,,2009年,
周防雪子,周防ゆきこ（すおう ゆきこ）,,2009年,
早见琉璃,早見るり（はやみ るり）,,2009年,
朝香凉,朝香涼（あさか りょう）,,2009年,
内山遥,内山遥（うちやま はるか）,,2009年,
吉冈美奈,吉岡美奈（よしおか みな）,,2009年,
安西瑠菜,安西瑠菜（あんざい るな）,,2009年,
新垣圣那,新垣セナ（あらがき せな）,,2009年,
白咲舞,白咲舞（しろさき まい）,,2009年,
浅乃晴美,浅乃ハルミ（あさの はるみ）,,2009年,
桃夏凛,ももかりん,,2009年,
濑奈凉,瀬奈涼（せな りょう）,,2009年,
卯月麻衣,卯月麻衣（うづき まい）,,2009年,
麻田有希,麻田有希（あさだ ゆき）,,2009年,
星崎杏里,星崎アンリ（ほしさき あんり）,,2009年,
小西麻衣,小西麻衣（こにし まい）,,2009年,
大泽美加,大沢美加（おおさわ みか）,,2009年,广田 まりこ-桜木 久美子
爱内梨花,愛内梨花（あいうち りんか）,,2009年,
铃木茶织,鈴木茶織（すずき ちゃお）,,2009年,
大冢遥,大塚遥（おおつか はるか）,,2009年,
音羽奏,音羽かなで（おとは かなで）,,2009年,
牧野田彩,AYA（あや）,,2009年,本名：牧野田彩（まきのだ あや，Makinoda Aya）
佐藤美沙,佐藤美沙（さとう みさ）,,2009年,
宫川怜,宮川怜（みやかわ れい）,,2009年,
爱音真寻,愛音まひろ（あいね まひろ）,,2009年,
安达有里,安达有里（あだち ゆり）,,2009年,
绫濑迪亚娜,綾瀬ティアラ,,2009年,
椎名由奈,椎名ゆな（しいな ゆな）,,2009年,引退
和叶美玲,和葉 みれい（かずは みれい）,,2009年,同春川真央
今井广野,今井 ひろの（いまい ひろの）,,2009年,
井川由衣,井川 ゆい（いがわ ゆい）,,2009年,
茉莉香,まりか,,2009年,
爱斗优希,愛斗 ゆうき（あいと ゆうき）,,2009年,
惠佳,恵 けい（めぐみ けい）,,2009年,
水泽真树,水沢 真樹（みずさわ まき）,,2009年,
大空花音,大空 かのん（おおぞら かのん）,,2009年,
濑尾惠美里,瀬尾 えみり（せのお えみり）,,2009年,
白石美咲,白石 美咲（しらいし みさき）,,2009年,
橘美穗,橘 美穂（たちばな みほ）,,2009年,
友田彩也香,友田 彩也香（ともだ あやか）,,2009年,
月见刊,月見 栞（つきみ しおり）,,2009年,
优木葵,優木 あおい（ゆうき あおい）,,2009年,
桐原绘里香,桐原 エリカ（きりはら えりか）,,2009年,（引退）
水嶋杏美,水嶋 あずみ（みずしま あずみ）,,2009年,（引退）
水嶋爱,水嶋 あい（みずしま あい）,,2009年,桜井まゆ-西村瞳-白石爱(白石 あい)-宫沢 みき
藤浦惠,藤浦 めぐ（ふじうら めぐ）,,2009年,
泉麻那,泉麻 那（いずみ まな）,,2009年,
松下美香,まつした みか,,2009年,别名：大河內奈美（おおこうち なみ，Ookouchi Nami）
秋山祥子,あきやま しょうこ,,2009年,别名：由纪子（ゆきこ，Yukiko）
上原结衣,上原 結衣（うえはら ゆい）,,2010年,
小仓奈奈,小倉 奈々（おぐら なな）,,2010年,
小西悠,小西 悠（こにし ゆう）,,2010年,
小向美奈子,小向美奈子（こむかい みなこ）Komukai Minako,,2010年,
小野小雪,小野 こゆき（おの こゆき）Koyuki Ono,,2010年,宫本はづき-成田翔子
小泽真理奈,小沢 真理奈（おざわ まりな）,,2010年,
小泽优名,小沢 優名（おざわ ゆうな）Yūna Ozawa,,2010年,
小出 遥,小出 遥（こいで はるか）,,2010年,
中居千春,中居 ちはる（なかい ちはる）,,2010年,别名：中居千春-仲居ちはる-中居ちひろ
大岛理子,大島りこ（おおしま りこ）,,2010年,
大岛美奈实,大島 みなみ（おおしま みなみ）Minami ōshima,,2010年,藤浦 みか-あかね
大城かえで,大城 かえで（おおしろ かえで）Kaede ōshiro,,2010年,椿かなめ-山口 彩-吉沢咲良
大石のぞみ,大石 のぞみ（おおいし のぞみ）Nozomi ōishi,,2010年,
大堀香奈,大堀 香奈（おおほり かな）,,2010年,
三村千奈,三村ちな（みむら ちな）,,2010年,
山口理子,（やまぐち りこ）,,2010年,原AKB48 中西里菜（なかにし りな）（引退）
乃乃果花,乃々果 花（ののか はな）,,2010年,
木下若菜,木下 若菜（きのした わかな),,2010年,
今村美穗,（いまむら みほ）,,2010年,
仁科百华,仁科 百華（にしな ももか）,,2010年,（引退）
内田美奈子,内田 美奈子（うちだ みなこ）,,2010年,
内田真由,内田 真由（うちだ まゆ）,,2010年,
弘前亮子,弘前亮子（ひろさき りょうこ）,,2010年,
加藤莉娜,加藤リナ（かとう りな）,,2010年,（引退）
立花绫乃,（たちばな あやの）,,2010年,
立花纱耶,立花 さや（たちばな さや）,,2010年,
北川瞳,北川 瞳,,2010年,(引退)
矢吹杏,矢吹 杏（やぶき あん）,,2010年,
江川小春,江川小春(えがわ こはる),,2010年,
安西优子,Natsu Suzuki,,2010年,铃木 なつ（すずき なつ）
西山希,西山 希（にしやま のぞみ）,,2010年,
西条琉璃,西條 るり（さいじょう るり）,,2010年,
仲丘珠树,仲丘 たまき（なかおか たまき）,,2010年,片冈 まきな
有村千佳,有村 千佳（ありむら ちか）,,2010年,2015年引退
宇佐野瞳,宇佐野 瞳（うさの ひとみ）,,2010年,星见あい
佐佐木晴香,佐々木 はるか（ささき はるか）,,2010年,
折笠弥生,折笠弥生（おりかさ やよい）,,2010年,
尾上 ライナ,尾上 ライナ （おがみ らいな）Raina Ogami,,2010年,
初美沙希,Mishimaroku Saburou（はつみ さき）,,2010年,（引退）
伊东由莉雅,伊東ユリア(いとうゆりあ),,2010年,
伊织凉子,伊織 涼子（いおり りょうこ）,,2010年,
希咲彩,希咲 あや（きさき あや）,,2010年,
青木莉子,青木莉子（あおき りこ）,,2010年,
青木琴音,青木 琴音（あおき ことね）,,2010年,
青山劳拉,青山 ローラ（あおやま ろーら）,,2010年,
雨宫真贵,雨宮 真貴（あまみや まき）,,2010年,
京香JULIA,JULIA（じゅりあ）,,2010年,（引退）(2012年复出)
城户叶子,城戸 葉子（きど ようこ）,,2010年,别名：白石美里（しらいし みさとShiraishi Misato）
相泽莉娜,相澤 リナ（あいざわ りな）,,2010年,
相川优衣,あいかわ 優衣（あいかわ ゆい）,,2010年,
相内诗织,相内 しおり（あいうち しおり）,,2010年,
香坂玲依宁,（こうさかれいら）Reira Kousaka,,2010年,
春菜花,春菜はな（はるな はな）,,2010年,
秋本诗音,秋本詩音(あきもとしおん),,2010年,
神河美音,神河美音（かみかわ みおん）,,2010年,
若叶久留美,若葉くるみ（わかば くるみ）,,2010年,
哀川凛,哀川 りん（あいかわ りん）,,2010年,
美咲结衣,美咲 結衣（みさき ゆい）,,2010年,
美雪艾莉丝,美雪 ありす（みゆき ありす）,,2010年,
柚本纱希,柚本 紗希（ゆずもと さき）,,2010年,
前田 阳菜,（まえだ ひな）,,2010年,森川 あみ（森川 亜美）-铃木 祐美-雏丸
宫下翼,宮下 つばさ（みやした つばさ）,,2010年,宫下 真央
海老原瞳,海老原ひとみ(えびはらひとみ),,2010年,
原田明绘,原田明絵（はらだ あきえ）,,2010年,
桃依沙罗,桃依 さら（ももい さら）,,2010年,
仓木美绪,倉木 みお（くらき みお）,,2010年,（引退）
梓唯衣,梓 ユイ（あずさ ゆい）,,2010年,梓 ユイ（あずさ ゆい、1990年10月24日 - ）
岛田阳子,島田陽子（しまだ ようこ）,,2010年,1953年5月17日－至今
菜月安娜,菜月 アンナ（なつき あんな）,,2010年,
鹿波芽梨,かなみ芽梨(かなみめり),,2010年,
进藤美久,進藤みく（しんどう みく）,,2010年,
朝田芭娜娜,朝田ばなな〈あさだ ばなな〉,,2010年,神似AKB48之大岛优子
朝仓琴美,朝倉 ことみ（あさくら ことみ）,,2010年,
朝川光,朝川ひかる(あさかわひかる),,2010年,
浅川凉,浅川涼(あさかわりょう),,2010年,
梅咲ほの香,梅咲ほの香(うめさきほのか),,2010年,
彩音樱,彩音 さくら（あやね さくら）Ayane Sakura,,2010年,
葵司,葵つかさ (あおい つかさ),,2010年,
爱里未来,あいり みく,,2010年,
爱音ミク,愛音ミク（あいねみく）,,2010年,
福山沙耶香,福山さやか（ふくやま さやか）,,2010年,
蒂亚,ティア（てぃあ）,,2010年,(引退)
玛丽亚·艾莉由里,マリア?エリヨリ,,2010年,
瑠川里菜,瑠川 リナ（るかわ りな）,,2010年,（引退）
双叶美佳,双葉 みか（ふたば みか）,,2010年,稲森 まほ-来海 みさ-ゆずき 铃-南 みか-みか
篠原杏,篠原 杏（しのはら あん）,,2010年,
篠田步美,篠田あゆみ（しのだ あゆみ）,,2010年,别名：池田美和子（いけだ · みわこIkeda Miwako）(引退)
优希麻琴,優希 まこと（ゆうき まこと）,,2010年,
藤北彩香,藤北 彩香（ふじきた あやか）,,2010年,
藤原瞳,藤原ひとみ（ふじわら ひとみ）,,2010年,
织田真子,織田 真子（おだ まこ）,,2010年,
绘色千佳,絵色千佳（えいろ ちか）,,2010年,
樱花沙耶,櫻花さや(おうかさや),,2010年,
樱花绘里,桜花 えり（おうか えり）,,2010年,
中野亚梨沙,中野 ありさ（なかの ありさ）,,2011年,萝莉系AV女优。
纱仓真菜,紗倉 まな（さくら まな）Sakura Mana,,2011年,
爱内希,愛內希(あいうちのぞみ),,2011年,
星美梨香,星美 りか(ほしみりか),,2011年,(引退)
小岛南,小岛 みなみ（こじま みなみ）,,2011年,
星野响,星野ひびき,,2011年,hibiki hoshino-旧名(斉藤ひな)2015年以星野响再出现，2016引退
山口理红,山口 理紅（やまぐちりく）,,2011年,本名：中西真理香（なかにし まりか，Nakanishi Marika）
大冢莲,（大塚 れん）,,2011年,Ayase Ren 绫濑莲（绫瀬 れん，井上 美咲）
前田优希,前田 優希（まえだゆうき）,,2011年,同 星咲优菜（ほしざき ゆうな)97 - 59 - 88 (H Cup)
上原瑞穗,上原 瑞穂（うえはら みずほ）,,2011年,2012年引退
上原 保奈美,上原 保奈美（うえはら　ほなみ）,,2011年,
神咲诗织,神咲 詩織（かみさき しおり）,,2011年,
石川流花,石川流花（いしかわるか）,,2011年,
鲇川 千里,（あゆかわ ちさと）,,2011年,舟川 ちさと-有村 美优-长谷川 まなみ(引退)
真木今日子,（まき きょうこ）,,2011年,99 - 60 - 88 (I Cup)
真木梓,眞木 あずさ（まき あずさ）,,2011年,88 - 59 - 86 (E Cup)
桃香樱,桃香櫻（ももかさくら）,,2011年,
月城瑞妮,月城 ルネ（つきしろ るね）,,2011年,
小向美奈子,小向 美奈子（こむかい みなこ）,,2011年,
小森爱,小森 愛（こもり あい）,,2011年,别名:斉藤 香
宇留美真帆,うるや 真帆（うるや まほ）,,2011年,80 - 55 - 82(D Cup)
内山舞,内山 まい（うちやま まい）,,2011年,110 - 61 - 92 (J Cup)河瀬 リナ-さくら 悠
香西咲,香西咲,,2011年,84 - 57 - 85(D Cup)
堀咲莉娅,堀咲 りあ（ほりさき りあ）,,2011年,94 - 58 - 89 (H Cup)
前田香织,前田 かおり（まえだ かおり）,,2011年,
爱香,AIKA（あいか）,,2011年,
冲田杏梨,沖田 杏梨（おきた あんり）,,2011年,（引退）同观月茜
樱濑奈,桜 瀬奈（さくら せな）,,2011年,
佐藤遥希,さとう 遥希（さとう はるき）,,2011年,高森あゆみ? （たかもりあゆみ / Takamori Ayumi）
上原亚衣,上原 亜衣（うえはら あい）,,2011年,（引退）
南梨央奈,南 梨央奈（みなみ りおな）,,2011年,
夏目优希,夏目 優希（なつめ ゆうき）,,2011年,
爱内希,愛内 希（あいうち のぞみ ）,,2011年,（引退）
朱音唯,朱音 ゆい（あかね ゆい）,,2011年,（引退）
桐谷尤莉亚,桐谷 ユリア（きりたに ゆりあ）,,2011年,
由爱可奈,由愛 可奈（ゆめ かな）Yume Kana,,2011年,
小仓柚子,小仓 ゆず（おぐら ゆず）,,2011年,
安城安娜,安城 アンナ（あんじょう あんな）,,2011年,
本庄瞳,ほんじょう ひとみ,,2011年,
枢木美刊[1],枢木 みかん（くるるぎ みかん）,,2011年,
秋吉雏,秋吉 ひな（あきよし ひな）,,2011年,
秋野千寻,秋野 千尋（あきの ちひろ）,,2011年,
奥田咲,奧田 咲（おくだ さき）,,2011年,
佳苗琉花,佳苗 るか(かなえ るか),,2012年,
伊藤舞,伊藤まい(いとうまい),,2012年,まい-筒井有香-响京香-响まい
莲实克蕾雅,蓮実 クレア（はすみ クレア）,,2012年,
春原未来,春原 未来（すのはら みき）,,2012年,すのっち-すのちゃん-すのさん-ミキポン
新山枫,新山かえで(にいやまかえで),,2012年,
响真由,響まゆ(ひびきまゆ),,2012年,
真白美奈,真白みな(ましろみな),,2012年,
小泉 真希,小泉 真希（こいずみ まき）,,2012年,
姫野 尤里,姫野ゆうり(ひめのゆうり)Himeno Yuri,,2012年,市来美保105 - 56 - 86(M)
片桐沙代子,片桐沙夜子（かたぎりさよこ）,,2012年,105 - 65 - 92（H）
大崎 美佳,小泉 真希（おおさき みか）,,2012年,
大场唯,大場 ゆい（おおば ゆい）,,2012年,
早瀬爱丽丝,早瀬 ありす（はやせ ありす）,,2012年,
凉宫琴音,すずみや ことね（Suzumiya Kotone）,,2012年,香椎 みなみ（出道），白咲 碧（2014），山本 玲奈，えりか-2015年改名为“凉宫琴音”
青山沙希,青山 沙希（あおやま サキ）,,2012年,
尾上 若叶,おのうえ わかば,,2013年,Wakaba Onoue
纱仓真菜,紗倉 まな（さくら まな）,,2012年,
麻生希,麻生 希（あそう のぞみ）,,2012年,
泷泽萝拉,滝澤 ローラ（たきざわ ろーら）,,2012年,2012年底引退
芦名尤利娅,芦名 ユリア（あしな ゆりあ）,,2012年,
桐嶋葵,桐嶋 あおい（きりしま あおい）,,2012年,
古川伊织,古川 いおり（こがわ いおり),,2012年,
藤泽美羽,藤澤 美羽（ふじさわ みう）,,2012年,（引退）
长谷川理穗,長谷川 リホ（はせがわ りほ）,,2012年,
舞咲美娜,舞咲 みくに（まいさき みくに）,,2012年,
