中文译名,日文原名,,出道年份,备注
林かづき,林かづき（はやし かづき）,,1989年,
樋口里香,樋口里香（ひぐち りか）,,1989年,
藤本圣名子,藤本聖名子（ふじもと みなこ）,,1989年,本名：斉藤 美弥子
穂高奈奈,穂高奈奈（ほだか なな）,,1989年,
永井一叶,永井一葉（ながいかずは）,,1989年,
中尾加奈子,中尾加奈子（なかお かなこ）,,1989年,
中原絵美,中原絵美（なかはら えみ）,,1989年,
西麻布丽,西麻布麗（にしあざぶ れい）,,1989年,沢田亜矢
西荻恭子,西荻恭子（にしおぎ きょうこ）,,1989年,
西浜りえ,西浜りえ（にしはま りえ）,,1989年,
西本直美,西本直美（にしもと なおみ）,,1989年,
沼原朱美,沼原朱美（ぬまはら あけみ）,,1989年,
野坂なつみ,野坂なつみ（のさか なつみ）,,1989年,
高城祐里,高城祐里（たかぎ ゆり）,,1989年,
高仓真理子,高倉真理子（たかくら まりこ）,,1989年,
田代水絵,田代水絵（たしろ みずえ）,,1989年,
仙叶由季,仙葉由季（せんば ゆき）YUKI SENBA,,1989年,
芹沢里绪,芹沢里緒（せりざわ りお）,,1989年,
杉本みゆき,杉本みゆき（すぎもと みゆき）,,1989年,伊东恵
庄司みゆき,庄司みゆき（しょうじ みゆき）,,1989年,
沢木まりえ,沢木まりえ（さわき まりえ）,,1989年,
沙也加,沙也加（さやか）,,1988年,浅井 沙也加
桜树ルイ,桜樹ルイ（さくらぎ るい）,,1989年,相沢 美纪-一ノ瀬 雅子
加山夏子,加山 なつこ（かやま なつこ）,,1989年,1990年引退，2004年复出。
丸山明代,丸山明代（あいだもも）,,1990年,
木下惠美,木下めぐみ（きのした めぐみ）,,1990年,
北原ななせ,北原ななせ（きたはら ななせ）,,1990年,
甲斐みづき,甲斐みづき（かい みづき）,,1990年,
白石瞳,白石ひとみ（しらいし ひとみ）,,1990年,（引退）
希志真理子,希志真理子（きし まりこ）,,1990年,
卑弥呼,卑弥呼（ひみこ）,,1990年,
雨宫夏子,雨宮夏子（あまみや なつこ）,,1990年,
明野美忧,あけの美憂（あけの みゆう）,,1990年,
赤川绘理,赤川絵理（あかがわ えり）,,1990年,
美仓ケイ,美倉 ケイ（みくら）,,1990年,有森丽（ありもり れい）
荒木美操,荒木美操（あらき みさお）,,1990年,
浅间夕子,浅間夕子（あさま ゆうこ）,,1990年,
麻仓真纪,麻倉真紀（あさくら まき）,,1990年,
菊池夕香,菊池夕香（きくちゆか）,,1990年,
朝比奈めぐみ,朝比奈めぐみ（あさひな めぐみ）,,1990年,伊集院美子（引退）
镜亚子,鏡 亜子（かがみ あこ）,,1990年,
芦屋瞳,蘆屋瞳（あしや ひとみ）,,1990年,
丽华,麗華（れいか）,,1990年,
山西留衣,山西留衣（やまにし るい）,,1990年,
山本梨香子,山本梨香子（やまもと りかこ）,,1990年,
弓月薫,弓月薫（ゆづき かおる）,,1990年,
梦园小夜子,夢園小夜子（ゆめぞの さよこ）,,1990年,
吉川りりあ,吉川りりあ（よしかわ りりあ）,,1990年,
吉永真弓,吉永真弓（よしなが まゆみ）,,1990年,
まひろ纯,まひろ純（まひろ じゅん）,,1990年,
长峰ルミ,長峰ルミ（ながみね るみ）,,1990年,三崎 ちひろ（三崎 知寛）
水城瞳,水城瞳（みずき ひとみ）,,1990年,
水泽明,水沢明（みずさわ あきら）,,1990年,
ミス?ダンディ?真理子,ミス?ダンディ?真理子（みす だんでぃ まりこ）,,1990年,真理子
小鸠美爱,小鳩美愛（こばと みあい）,,1991年,（引退）
有吉奈生子,有吉奈生子（ありよし なおこ）,,1991年,
秋真琴,秋真琴（あき まこと）,,1991年,（引退）
秋川典子,秋川典子（あきかわ のりこ）,,1991年,（引退）
秋本诗织,秋本詩織（あきもと しおり）,,1991年,（引退）
麻川梨乃,麻川梨乃（あさかわ りの）,,1991年,（引退）
朝仓由美,朝倉由美（あさくら ゆみ）,,1991年,（引退）
朝冈实岭,朝岡実嶺（あさおか みれい）,,1991年,（引退）
芦川美纪,芦川美紀（あしかわ みき）,,1991年,
梨花,梨花（りか）,,1991年,
吉泽あかね,吉沢あかね（よしざわ あかね）,,1991年,
吉永里美,吉永里美（よしなが さとみ）,,1991年,
牧瀬めぐみ,牧瀬めぐみ（まきせ めぐみ）,,1991年,
美树あゆみ,美樹あゆみ（みき あゆみ）,,1991年,
树まり子,樹まり子（みき まりこ）,,1991年,
美咲舞,美咲舞（みさき まい）,,1991年,
美里リナ,美里リナ（みさと りな）,,1991年,
水越丽子,水越麗子（みずこし れいこ）,,1991年,
水泽あのん,水沢あのん（みずさわ あのん）,,1991年,
水泽香织,水沢香織（みずさわ かおり）,,1991年,
水原尚美,水原尚美（みずはら なおみ）,,1991年,
有须あゆみ,有須あゆみ（ありす あゆみ）,,1992年,（引退）
秋山美冴,秋山美冴（あきやま みさ）,,1992年,
真田ゆかり,真田 ゆかり（さなだ ゆかり）,,1992年,葵のぞみ
麻生绘美,麻生絵美（あそう えみ）,,1992年,（引退）
浅香まり,浅香まり（あさか まり）,,1992年,（引退）
梓由纪,梓由紀（あずさ ゆき）,,1992年,（引退）
浅仓舞,浅倉舞（あさくら まい）,,1992年,（引退）
饭岛爱,飯島愛（いいじま あい）,,1992年,（逝世）
爱本美穂,愛本美穂（あいもと みほ）,,1992年,
忧木瞳,忧木瞳（ゆうき ひとみ）,,1992年,（引退）
惑井魅爱,惑井魅愛（わくい みあい）,,1992年,
社惠美子,社恵美子（やしろ えみこ）,,1992年,
梦丘ありす,夢丘ありす（ゆめおか ありす）,,1992年,
横山えりか,横山えりか（よこやま えりか）,,1992年,
真木静香,真木静香（まき しずか）,,1992年,
